"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Indonesia","IDN","Children out of school, male (% of male primary school age)","SE.PRM.UNER.MA.ZS","","","","","","","","","","","","24.5221004486084","23.6719493865967","","22.2103691101074","22.2990093231201","19.8016300201416","","10.5591402053833","","","5.6124701499939","","","","","","0.281109988689423","","0.481409996747971","2.43407988548279","3.63951992988586","4.2574200630188","5.21877002716065","4.07599020004272","3.95233011245727","5.83998012542725","6.12116003036499","","","","4.43736982345581","4.88450002670288","4.56764984130859","5.10066986083984","5.1428599357605","3.37462997436523","0.874830007553101","2.10557007789612","0.200059995055199","","","","1.96389997005463","2.68269991874695","","3.65128993988037","4.12070989608765","5.8936262519916","","","","","","",
"Indonesia","IDN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","5456613","5470670","","5926038","5600581","5144351","4753405","3353653","","","2363737","931927","600505","527935","497616","652367","403297","548571","528405","1009038","1306455","1494448","1684533","1384502","1348160","1649514","1702062","","","","1082406","1148725","1182554","1369667","1559205","1117320","554080","690846","264905","104908","486790","63112","490076","959679","","1685507","1796456","2189066.4453125","495248.938956723","778194.218833413","420235.204818223","358046.028433468","211984.970489349","310417.722365066",
"Indonesia","IDN","Primary education, teachers (% female)","SE.PRM.TCHR.FE.ZS","","","","","","","","","","","31.7999591827393","","","","","","36.4986190795898","36.1361503601074","36.554988861084","","","","","32.7824211120605","","","","","49.305061340332","49.7013397216797","49.9591789245605","50.5368690490723","50.4793891906738","51.4283981323242","52.0561294555664","52.2544288635254","52.2608184814453","","","51.3486213684082","51.9952087402344","52.2375411987305","52.0387115478516","54.0809288024902","52.2968482971191","61.0220489501953","59.0002593994141","57.5802803039551","60.0556297302246","61.5517311096191","62.466109633417","62.998095301765","63.5864169048246","62.4184721894086","62.0874861050142","","62.0658820335405","66.0027046655207","68.4348581693516","67.023572855035","69.4591372089034","69.6465228705855","70.5644796200263","71.1794970553206","71.7839007528638",
"Indonesia","IDN","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2960308239319","34.1097508016947",
"Indonesia","IDN","Persistence to last grade of primary, total (% of cohort)","SE.PRM.PRSL.ZS","","","","","","","","","","","","57.8745918273926","58.030029296875","45.4573707580566","49.1355285644531","50.3441009521484","59.0023918151855","77.2038269042969","","","","68.2500762939453","69.0736083984375","73.0658721923828","75.4519271850586","79.8847274780273","80.1244583129883","78.4316329956055","79.4501266479492","77.4369812011719","78.8218383789062","77.9630508422852","81.6581115722656","89.4988708496094","80.7627868652344","84.9161529541016","82.9716262817383","","","","","85.8899765014648","86.3693618774414","85.1013565063477","82.9856796264648","","","79.9770431518555","87.8696670532227","91.7996673583984","","88.9750671386719","81.8019638061523","81.9413528442383","","","97.5823211669922","98.232048034668","","","","","","","",
"Indonesia","IDN","Persistence to grade 5, male (% of cohort)","SE.PRM.PRS5.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8727722167969","90.3622283935547","87.5529327392578","","","","","86.5654602050781","88.291389465332","","89.3928909301758","","","83.1278228759766","","","","","","","","","98.0667419433594","99.0687713623047","","","","","","","",
"Indonesia","IDN","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","14.90376","14.42892","","12.95204","12.48109","11.36903","","11.6303","","","14.24773","10.96118","9.24451","12.7813","12.55265","11.67318","12.32288","9.50735","8.9962","9.0382","8.06017","6.69679","7.86525","7.20315","6.85196","6.90875","6.90876","","","","6.26429","5.99393","7.00897","6.94547","7.15638","3.1984","3.1894","3.1984","3.1984","1.849","3.24449","3.14322","3.37976","3.2842","","1.07151","1.07071","1.07117","","","","","","",
"Indonesia","IDN","Net intake rate in grade 1, female (% of official school-age population)","SE.PRM.NINT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.71619","45.22498","37.95305","35.93995","","37.86982","","","","","","","","","","37.96325","41.58876","37.2727","","","","","","",
"Indonesia","IDN","Gross intake ratio in first grade of primary education, total (% of relevant age group)","SE.PRM.GINT.ZS","","","","","","","","","","","","","91.68614","92.92209","101.75851","112.63666","114.90443","108.9331","121.59476","","","121.47364","129.39339","123.83538","126.55791","125.02973","109.52473","112.09354","116.0007","114.9713","110.3928","107.13619","105.95829","105.80524","107.42022","106.7687","106.80871","111.26446","","109.67554","108.13111","110.99616","114.67485","112.8646","109.37086","112.15309","112.60143","115.59236","112.88472","111.42412","113.43251","114.72171","104.81098","105.4322","107.5332","109.0725","104.58974","103.9821","102.51958","","","","","","",
"Indonesia","IDN","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","77.404670715332","77.1006469726562","77.8652572631836","77.1388320922852","75.0669784545898","79.3665390014648","83.0495300292969","85.4115295410156","93.0237274169922","","","102.339630126953","108.428680419922","113.650680541992","117.019828796387","119.014808654785","116.792083740234","115.80094909668","114.535781860352","114.473983764648","112.482391357422","111.553260803223","110.709747314453","109.869422912598","111.169830322266","110.924659729004","110.433090209961","110.225021362305","109.887329101562","111.680480957031","108.591857910156","109.321868896484","110.007148742676","110.189727783203","109.772338867188","108.054290771484","106.648193359375","108.9541015625","108.758598327637","110.005897521973","113.421035676571","116.63314310678","114.766713106254","111.15346610865","107.924638833898","106.071836024553","103.913111850824","102.395366620706","101.347509721216","99.5440095250085","99.1283586687451","98.4981107931614","96.8813148085376","96.6062541740073","98.5643951898382",
