"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","-2.80056686225022","-3.28508557062254","6.83944528482677","6.63336577267202","-9.22714268174914","-1.19403471048011","5.00087652095252","1.5120075245004","1.33325511364416","-0.207350519873486","1.29533548971223","2.67968201885498","-1.01358346378845","-4.40349514927294","-2.40964888492158","5.42329780784105","7.58954608001814","3.55243138470316","7.9740098442238","8.44001618315264","3.2282354106711","9.70936008542537","28.3388094318067","0.155408271342594","5.55303948304571","7.88096105593455","10.441801572673","6.66854675450624","7.74090941872898","9.67087167566194","11.2162084657959","7.78416452030837","-4.24066733274103","6.73640507073694","-38.6132627035389","-14.7562039639973","5.00758686988745","7.18517306815394","-3.31747475367345","-3.16244206892776","4.87254783901754","2.50037145281836","-2.50394206057449","-11.37708336046","8.5283066120696","9.61338149225274","1.98342824926989","3.61080286291806",
"Afghanistan","AFG","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24332933103564","18.6125162428067","-12.1079479040833","",
"Africa Western and Central","AFW","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.3","13.0900000052014","22.9299999829965","14.2900000046068","16.5600000038545","10.6200000007288","-2.65051888854518","-2.37893217223176","-5.12410133699206","5.19986450416778","-1.17390075820295","0.704632329216977","-14.6893227263778","-18.3955246168033","24.543676750422","-7.61397216450526","-17.4151716389871","-7.34159203606634","-8.55846521367228","3.27058354217731","-6.18477627312238","5.04811092597042",
"Albania","ALB","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5828531261344","-18.2745043507087","33.833480981746","73.0967957895076","38.8812984839359","15.4561613554149","3.5523666753469","11.7732511279745","18.4838664060318","24.2668564177305","16.9274273635671","19.1122012763883","-4.62556706108955","4.71153337805501","19.1935791437219","6.67409512981436","0.293588275390633","1.58899617671256","-0.169636687451657","-2.25254023391722","7.57276906101264","12.9646313708102","4.46629089537305","2.4800752980137","-27.7255430085865","52.0973691827291","17.0424879813874","9.45351410511743","-0.764177264372876",
"Andorra","AND","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.226664715599938","14.9875097100893","11.3605714952691","8.47622878721232","6.71144990079529","5.59840661556863","7.19898669743553","-6.3133772538278","9.50712817632817","-11.1109795343422","8.54041279391495","1.62116226793442","-0.32395760579081","1.87224352634286","2.92115192839975","4.43799029840773","5.21524892968586","-0.606765911741022","-8.02847821368043","4.11006352480747","13.5174217294421","4.90027360397369","",
"United Arab Emirates","ARE","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.15040873722816","22.9101961292845","24.5443845778458","11.4822553747325","11.5312446725109","8.83206540009569","12.4352245847308","-4.29925555993508","6.25981032110805","16.0662242305144","15.6651707544653","7.06098995250419","4.12697653022774","2.72546732662016","5.21396566217214","-0.319116771189471","1.68171160541537","0.751709033400132","3.84884085148971","4.08141295943298","8.4595729576229","6.87975755487554","",
"Argentina","ARG","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","-10.6385917355775","45.2384632340366","0","-8.19666133364947","8.92850026232637","16.3934313365593","0","-7.04215598889746","21.2120723743181","1.20010411876612","-9.93094420365617","2.02958608360994","13.9785899922328","0.235738441573631","-9.2941585255204","31.5176565526492","27.317771938281","8.90726991607747","-3.20050013520199","-5.1428624049782","5.20390651074788","3.94655240583394","2.58260584774649","-2.59149777144786","15.5540238484381","-10.2703411884969","-3.48199917023786","18.7195656086271","7.43032372210975","18.011603252764","-3.62414435995726","-1.02969443918937","3.98319867911239","15.2955689817863","22.5281446861923","7.64679488927655","12.1774408238905","10.6233930631356","-1.26027793880733","2.70239130860458","2.74099076017254","3.09295518587496","5.99536820219664","8.11415798951984","12.8868304227088","5.56120323520517","8.16445191719141","0.73987446873889","-9.3471064312958","13.8969136234784","4.14881478412255","-4.10831132628213","-3.52024034290045","-6.97916743435549","-2.77737294006695","5.31735410754007","2.61539095219052","0.645996251439556","9.75102540356465","-17.4377108754675","8.45304479532243","4.60621479749331","-7.51263224246333","23.1631769201562",
